number,value,state,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq
52,0.9309885357840226,COMPLETE,0 days 00:00:01.698416,0.7913624793592945,0.0386050751573382,11,45,700,171,0.41972526356794376,0.0003994191583318512,0.6816090740604939,1
53,0.9165703493717893,COMPLETE,0 days 00:00:01.512524,0.8431946285580062,0.006209322462035049,12,45,700,133,0.33768147334359067,0.0018539972898548843,0.6832141474115152,2
54,0.9297992760940404,COMPLETE,0 days 00:00:01.013661,0.7944105902285464,0.06767913301322333,10,38,600,198,2.741892567378437,0.0002817425214987162,0.7504962663078095,1
55,0.9217770628437747,COMPLETE,0 days 00:00:02.135345,0.7850022160154606,0.06453518043597044,10,14,600,198,1.100947968454859,0.0003442408400865161,0.8114937776305329,1
56,0.9288623366656892,COMPLETE,0 days 00:00:02.831162,0.7785995305897565,0.09579495398525631,11,36,300,222,3.940468591948421,0.0008172569082766084,0.7609063754837072,0
57,0.9270221737737593,COMPLETE,0 days 00:00:03.276398,0.8730691549031339,0.023241126550787448,12,28,600,242,1.9774542614675958,0.00015695463082385079,0.7927008302922456,1
58,0.9305358168172418,COMPLETE,0 days 00:00:03.864440,0.8048360713342217,0.06442658967633988,10,40,700,175,0.2068177269497708,0.005554265109540616,0.7289986068484474,1
59,0.9250029817707824,COMPLETE,0 days 00:00:02.507509,0.7489484805037615,0.07551598140238731,11,38,700,176,0.5487189044196565,0.11324828701081735,0.7515392472583603,0
60,0.9023720515386362,PRUNED,0 days 00:00:00.781854,0.8641812037296983,0.06678898140858311,5,41,900,249,0.18137978800611945,6.376679428131576e-06,0.8385273911775594,1
61,0.916883681897021,COMPLETE,0 days 00:00:01.608482,0.8161415482189521,0.035286966742847925,10,31,700,198,4.189712341161685,0.0074044133387484576,0.7333385622464079,1
62,0.9143380185018617,PRUNED,0 days 00:00:02.431969,0.8385667850984903,0.008893350983246777,3,47,400,169,1.6952768551334183,0.0017071893644386759,0.6889867434010697,1
63,0.9258363648851757,COMPLETE,0 days 00:00:01.201027,0.7970513551991726,0.0532592121334998,11,44,600,233,0.24075600110790468,0.0007350544508799325,0.7222077760247635,4
64,0.9285587982202502,COMPLETE,0 days 00:00:02.613730,0.8879474489486724,0.1613710036291301,7,50,800,187,5.261924501602561e-06,0.0032138432816217117,0.664221155856737,1
65,0.9226560261031886,PRUNED,0 days 00:00:01.001125,0.8057312898641409,0.12099474345235921,10,40,500,154,9.212514599899751e-05,0.009327579955292353,0.6404190150260859,2
66,0.9262701032436351,COMPLETE,0 days 00:00:03.797333,0.7685898979715906,0.04036390632576595,12,34,400,205,0.45468345833713064,5.8593187659249705e-05,0.7465944415532785,3
67,0.9241139912963448,PRUNED,0 days 00:00:00.603752,0.827600591761058,0.0946365718267324,9,58,900,214,0.09933872651816533,0.0005186044993520803,0.7852081177646397,5
68,0.9275767629955127,COMPLETE,0 days 00:00:02.071019,0.7011839712415313,0.03136827598411146,11,26,600,224,0.03436192851573528,0.06799172167234001,0.9101320728802786,1
69,0.9099500399240332,PRUNED,0 days 00:00:01.239894,0.9763551405686438,0.07058068825990117,1,52,700,180,8.027592611143712,0.00023176270888688267,0.605976201077782,2
70,0.9260432896462021,COMPLETE,0 days 00:00:02.273658,0.6626777455818433,0.02085912603939545,9,39,1200,195,0.1493826026947356,0.012313277969287082,0.5027292876886564,0
71,0.9177856920767689,PRUNED,0 days 00:00:02.583262,0.6248921278833643,0.04510619406327596,9,62,800,163,0.008614956499716652,0.0031038423960282665,0.7140107917090516,2
72,0.91993637259776,COMPLETE,0 days 00:00:03.766913,0.7643202174894416,0.053457620300168505,8,43,800,118,0.01591836368349128,1.3464530708270972e-07,0.7208286140220169,2
73,0.9237649926574295,COMPLETE,0 days 00:00:02.248493,0.5926434763147779,0.041969755313212495,10,55,700,143,0.04827939504318866,0.039109465529732934,0.709068091406133,2
74,0.9285046297234124,COMPLETE,0 days 00:00:01.554141,0.7335861270469778,0.08073797372234605,12,48,800,236,0.00023160005554815344,3.655809596610483e-05,0.7678898680401919,1
75,0.9313453155731416,COMPLETE,0 days 00:00:02.553210,0.7959595481901747,0.02522041237715076,8,36,700,172,0.27628845265765356,0.0011712220833436915,0.6887329541192863,3
76,0.9267446721591219,COMPLETE,0 days 00:00:01.711323,0.7916176085216621,0.03508495590423143,8,31,500,168,1.1250953051752774,0.0010564305963477428,0.6728720695411632,3
77,0.9261890354441764,COMPLETE,0 days 00:00:01.993064,0.8460605302717515,0.02530959015385484,11,36,700,192,4.988108520686277e-05,1.1589268344193041e-05,0.6453521973307507,3
78,0.9150372884538822,PRUNED,0 days 00:00:01.128738,0.8015133091347931,0.0015994085544162025,10,19,600,157,0.31026586459906086,0.00010189292861977378,0.6962657414403114,3
79,0.9052167211509269,COMPLETE,0 days 00:00:01.721696,0.8300084862466964,0.016471034322530144,12,42,1000,176,5.000482874960676,0.00024332556350986834,0.7291296466242067,3
80,0.927378670779136,PRUNED,0 days 00:00:01.752760,0.7755687536673784,0.05673645749614825,11,34,1100,250,0.552958644826866,0.005573738183495259,0.6155776346745743,4
81,0.9319296761524405,COMPLETE,0 days 00:00:01.911995,0.5751348225325568,0.049716704287955944,9,46,700,201,0.00525382732583621,0.0004829531738757709,0.6879585812377509,2
82,0.9289753054610309,COMPLETE,0 days 00:00:01.773138,0.5777951223587112,0.03195683160188911,8,47,700,201,0.07453600378215706,0.0005327102054574564,0.6806256871840717,2
83,0.9258583918836244,COMPLETE,0 days 00:00:01.539119,0.6068430806664766,0.06569363385048627,9,50,600,217,0.005694872164664866,0.0025492493978308294,0.6637408473741419,3
84,0.9333884815293992,COMPLETE,0 days 00:00:01.308652,0.7548448168751375,0.04943412784072133,10,46,900,185,0.00042746644452336705,0.0004193782404151756,0.7564010798029462,2
85,0.9310212922340292,COMPLETE,0 days 00:00:02.289027,0.5440548219045865,0.05064503549402829,10,45,900,184,0.001123825350784635,0.0013909827424048798,0.7578250355894253,2
86,0.9218826361366725,PRUNED,0 days 00:00:01.550060,0.5418486305013097,0.04746532171792689,10,46,900,183,0.001401444685978455,0.0016701364366873918,0.7571528239389311,3
87,0.9244755222356189,PRUNED,0 days 00:00:02.269667,0.7574329935916654,0.028003893309611196,10,39,800,174,0.000138585830303405,6.8957316994405e-07,0.8105540210141227,1
88,0.9246804557288031,PRUNED,0 days 00:00:01.759419,0.5213730683346981,0.039343934128909214,10,43,900,163,0.0007021962409461514,0.0011382667612482955,0.7394362103108055,2
89,0.9199387418553766,PRUNED,0 days 00:00:01.213850,0.741304311787119,0.058021807200786195,11,83,900,149,0.0004975695075461797,0.0004902225002188731,0.7720464464456376,1
90,0.9253417717097628,COMPLETE,0 days 00:00:01.677998,0.7011296850296485,0.0837041278945174,9,50,1000,189,2.3967622250045513e-05,0.0002253853342430496,0.6985977679568464,3
91,0.9204920216367748,COMPLETE,0 days 00:00:01.981130,0.5765891046515919,0.051268070297239746,11,36,1000,209,0.0023830168526117646,0.00013141395186010412,0.7473803959892195,2
92,0.9269417483611435,COMPLETE,0 days 00:00:02.263067,0.5499743071864293,0.04350842828595288,12,41,1100,202,0.0011599956831470069,0.01523575942402552,0.775500018142562,2
93,0.9294899985382775,COMPLETE,0 days 00:00:06.049061,0.5997575339100196,0.07254741611443048,11,94,1000,183,0.0033606960844071603,7.26442687746768e-05,0.7239831870696466,2
94,0.9296734454956538,COMPLETE,0 days 00:00:03.597940,0.6281503795587781,0.022508111798995308,10,33,800,178,0.0001642884894064858,0.00036981939982526433,0.7563917863566264,2
95,0.9233162763016587,PRUNED,0 days 00:00:01.904162,0.5640192295983367,0.03347141941709661,11,45,900,170,0.00040230495545819875,0.0007059159320189216,0.7059214687846834,1
96,0.9309625676900701,COMPLETE,0 days 00:00:02.179300,0.8207120017267585,0.06413718681881761,10,38,1200,211,0.0011145524132978772,4.8454617211671806e-06,0.7346210250874428,2
97,0.9250348631045906,COMPLETE,0 days 00:00:02.715270,0.8173355395571297,0.06085256808449391,10,38,1200,209,4.441928105544557e-05,6.3155741885662755e-06,0.7990657657440066,2
98,0.9190862585591131,PRUNED,0 days 00:00:01.287123,0.8286122748268041,0.10500250248671598,9,30,700,191,0.0003278456124660464,0.0013572296811578447,0.7321182399336265,3
99,0.910499690447821,PRUNED,0 days 00:00:01.208849,0.7711559097815721,0.0905072910604785,9,41,1300,203,1.4386354936829844,1.5004558731307124e-06,0.6939953134950471,2
100,0.9290495976932155,COMPLETE,0 days 00:00:00.478082,0.7838973814586664,0.051718743238255545,10,49,1200,219,2.9080987684714508,4.509110406324167e-06,0.7389868747532145,1
